id,last_scraped,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,reviews_per_month
40536665,2021-09-12,313933445,Elite,t,3.0,3.0,51.56239,0.13258,Entire residential home,Entire home/apt,5,$121.00,5,1125,362,7,2020-03-27,2021-06-14,5.0,0.39
40543423,2021-09-11,258254795,Catherine,f,2.0,2.0,51.443,-0.03211,Private room in rental unit,Private room,2,$28.00,2,30,164,2,2020-01-04,2020-03-15,5.0,0.1
40546754,2021-09-11,23788581,Emily,f,0.0,0.0,51.54103,-0.08274,Entire rental unit,Entire home/apt,2,$195.00,5,1125,59,3,2020-01-02,2020-03-05,5.0,0.15
40547861,2021-09-11,314089089,Andy,f,1.0,1.0,51.52017,-0.22678,Entire residential home,Entire home/apt,8,$324.00,3,365,316,1,2021-07-29,2021-07-29,1.0,0.67
40548543,2021-09-11,73564667,Gianni,f,6.0,6.0,51.51147,-0.1848,Entire rental unit,Entire home/apt,5,$359.00,2,1125,345,3,2020-01-19,2020-02-23,5.0,0.15
40549989,2021-09-11,6436096,Nans,t,2.0,2.0,51.51416,-0.07068,Entire rental unit,Entire home/apt,2,$100.00,20,90,202,1,2020-01-03,2020-01-03,5.0,0.05
40552818,2021-09-11,204935083,Matthew,t,70.0,70.0,51.49433,-0.18835,Entire rental unit,Entire home/apt,5,$399.00,3,1125,365,1,2020-01-01,2020-01-01,5.0,0.05
40558330,2021-09-11,49892156,Robyn,f,2.0,2.0,51.55307,-0.05461,Private room in residential home,Private room,2,$45.00,14,60,33,2,2021-01-20,2019-12-17,4.0,0.26
40558775,2021-09-11,36359992,Gursel,f,1.0,1.0,51.51311,-0.05801,Private room in residential home,Private room,2,$59.00,1,15,179,1,2020-01-01,2020-01-01,5.0,0.05
40562262,2021-09-11,36359992,Gursel,f,1.0,1.0,51.5148,-0.05826,Private room in residential home,Private room,2,$45.00,2,15,167,1,2020-01-01,2020-01-01,5.0,0.05
40563012,2021-09-11,290191390,Erum,t,3.0,3.0,51.51601,-0.16363,Entire rental unit,Entire home/apt,4,$90.00,3,1125,73,9,2020-01-05,2021-07-26,5.0,0.44
40564692,2021-09-11,144580633,Stefany,f,6.0,6.0,51.53511,-0.09742,Entire rental unit,Entire home/apt,4,$111.00,2,1125,36,7,2020-02-05,2020-03-18,4.71,0.36
40564757,2021-09-11,146717980,Georgina,f,0.0,0.0,51.49702,-0.07154,Private room in rental unit,Private room,2,$75.00,2,4,160,2,2020-03-05,2020-03-09,5.0,0.11
40574484,2021-09-11,189613018,Melissa And Lauren,f,7.0,7.0,51.4931,-0.18912,Entire rental unit,Entire home/apt,5,"$1,500.00",2,1125,270,4,2020-02-22,2020-02-28,4.0,0.21
40574589,2021-09-11,314181829,Duncan,f,1.0,1.0,51.49676,-0.08568,Entire rental unit,Entire home/apt,2,$103.00,4,1125,154,5,2019-12-15,2020-01-27,4.8,0.24
40576310,2021-09-12,314413014,Farhana,f,0.0,0.0,51.4659,-0.02606,Entire rental unit,Entire home/apt,2,$130.00,30,90,89,11,2020-01-01,2020-02-18,4.45,0.53
40579306,2021-09-12,314442959,Vivian,f,0.0,0.0,51.53527,0.01611,Entire rental unit,Entire home/apt,3,$44.00,1,90,283,10,2020-03-05,2021-08-13,4.5,0.54
40580584,2021-09-11,314423748,Lisa & Vicki,f,1.0,1.0,51.5307,-0.19686,Entire rental unit,Entire home/apt,2,$106.00,3,1125,149,2,2019-12-16,2020-02-27,4.5,0.09
40582134,2021-09-11,204675710,Ben,f,2.0,2.0,51.51742,-0.20064,Entire rental unit,Entire home/apt,2,$90.00,10,182,80,2,2020-09-24,2021-08-01,5.0,0.17
40582690,2021-09-11,1432477,City Relay,f,93.0,93.0,51.52022,-0.175,Entire rental unit,Entire home/apt,6,$170.00,1,1125,327,14,2019-12-19,2020-12-23,4.43,0.66
